Employee_ID,Age,Experience_Years,Department,Education,Gender,Performance_Rating,Training_Score,Attendance_Percentage,Projects_Completed,Salary,Promotion
64,28.0,0,Finance,Bachelors,Female,1.0,84.0,73.67,10,20845,No
65,,14,IT,PhD,Female,2.0,52.0,85.94,4,63577,No
66,43.0,7,Marketing,Bachelors,Female,2.0,44.0,62.74,3,40091,No
67,41.0,1,Sales,PhD,Male,3.0,64.0,95.9,12,28234,No
68,36.0,2,HR,Masters,Female,5.0,59.0,64.78,7,39672,No
69,38.0,13,Sales,PhD,Male,3.0,93.0,73.11,12,66592,No
70,44.0,13,HR,,Male,,57.0,92.63,2,66128,No
71,46.0,10,Sales,Bachelors,Male,3.0,86.0,83.89,8,52075,No
72,45.0,15,HR,Bachelors,Male,5.0,57.0,75.75,14,72513,No
73,,3,Finance,PhD,Male,5.0,41.0,78.94,6,42168,No
74,35.0,19,HR,Masters,Female,1.0,49.0,94.18,7,80861,No
75,21.0,4,HR,Masters,Female,4.0,,73.6,14,43990,Yes
76,45.0,13,IT,Bachelors,Male,1.0,,94.79,5,56604,No
77,27.0,15,HR,Masters,Female,5.0,89.0,63.53,9,72979,Yes
78,29.0,17,IT,PhD,Male,2.0,86.0,91.07,5,77140,No
79,44.0,6,Marketing,,Male,2.0,51.0,93.9,11,44065,No
80,21.0,9,IT,PhD,Male,1.0,86.0,67.27,5,48916,No
81,28.0,6,Finance,Bachelors,Female,5.0,52.0,77.21,3,49800,No
82,44.0,0,IT,Bachelors,Male,2.0,89.0,66.62,11,19597,No
83,31.0,18,Marketing,Bachelors,Male,5.0,86.0,88.26,1,88724,Yes
84,37.0,15,Finance,Bachelors,Female,2.0,96.0,81.41,2,71320,No
85,28.0,18,Sales,Masters,Female,,,85.41,8,87705,Yes
86,55.0,3,Sales,PhD,Female,3.0,50.0,67.86,1,35622,No
87,55.0,17,IT,PhD,Male,5.0,58.0,68.47,7,77877,No
88,53.0,1,IT,PhD,Male,,74.0,61.66,14,29699,No
89,25.0,0,Marketing,Bachelors,Female,,78.0,72.88,14,26221,No
90,59.0,14,Marketing,Masters,Male,3.0,92.0,82.39,5,68780,No
91,48.0,4,HR,,Female,4.0,65.0,94.32,3,35716,Yes
92,27.0,19,Marketing,Masters,Female,1.0,,86.68,12,78086,No
93,29.0,10,HR,Bachelors,Male,4.0,53.0,77.42,12,53665,No
94,,9,Finance,PhD,Male,2.0,,98.12,11,53846,No
95,32.0,1,IT,Masters,Female,,84.0,88.77,7,32611,No
96,54.0,2,Finance,Bachelors,Female,5.0,83.0,97.21,9,32079,No
97,53.0,11,Marketing,Masters,Female,,63.0,81.1,2,64419,Yes
98,,19,Finance,PhD,Female,1.0,,70.36,8,82340,No
99,,4,Finance,PhD,Male,,40.0,62.11,9,30069,No
100,57.0,4,Finance,Bachelors,Female,4.0,,89.04,11,40263,Yes
101,55.0,5,Marketing,Bachelors,Female,1.0,82.0,64.85,3,39951,No
102,42.0,8,Finance,Bachelors,Female,1.0,94.0,72.11,2,42363,No
103,47.0,1,HR,,Male,4.0,61.0,81.3,7,30508,No
104,55.0,11,Marketing,,Male,3.0,62.0,82.58,5,55755,No
105,21.0,2,Finance,Masters,Female,3.0,95.0,84.02,5,27519,No
106,55.0,19,Marketing,,Male,2.0,93.0,66.65,10,81463,No
107,57.0,11,Sales,PhD,Male,1.0,58.0,75.19,5,57233,No
108,34.0,16,HR,PhD,Male,4.0,57.0,84.69,4,72102,No
109,23.0,9,Finance,Masters,Female,1.0,51.0,98.79,13,44597,No
110,21.0,13,Sales,,Female,5.0,94.0,89.11,5,67273,Yes
111,25.0,16,Sales,PhD,Male,1.0,67.0,96.9,13,70781,No
112,46.0,17,Marketing,PhD,Female,1.0,67.0,90.49,4,74256,No
113,34.0,18,Sales,Masters,Female,3.0,99.0,83.67,13,82258,No
114,59.0,16,HR,Masters,Male,4.0,98.0,67.68,6,79780,Yes
115,47.0,13,HR,PhD,Male,1.0,72.0,86.67,4,62554,No
116,29.0,8,IT,Bachelors,Female,3.0,58.0,84.94,2,54599,No
117,35.0,7,HR,,Male,2.0,,84.1,9,48002,No
118,35.0,1,Sales,PhD,Female,3.0,98.0,79.59,2,28846,No
119,46.0,12,HR,PhD,Female,3.0,91.0,81.15,9,66821,No
120,33.0,6,Marketing,PhD,Male,3.0,88.0,73.38,10,48186,No
121,52.0,8,IT,PhD,Female,1.0,76.0,80.77,6,45798,No
122,59.0,10,Sales,Bachelors,Female,1.0,,67.9,9,53605,No
123,52.0,13,IT,PhD,Male,2.0,,92.21,9,60986,No
124,24.0,3,Sales,,Male,5.0,73.0,67.43,3,34400,No
125,50.0,12,Marketing,Bachelors,Male,,74.0,63.4,1,63855,Yes
126,57.0,1,IT,,Female,5.0,79.0,77.45,1,31412,No
127,43.0,4,Finance,,Male,2.0,55.0,86.33,3,31056,No
128,,10,Sales,Masters,Male,5.0,77.0,77.51,5,63022,Yes
129,35.0,5,Finance,PhD,Male,,,71.07,13,41875,No
130,49.0,17,IT,Masters,Male,3.0,62.0,82.33,3,76543,No
131,56.0,9,Finance,PhD,Female,,99.0,73.88,12,48298,No
132,33.0,3,Finance,PhD,Female,1.0,93.0,97.31,9,29768,No
133,,8,IT,PhD,Male,3.0,61.0,96.91,9,50752,No
134,27.0,5,Marketing,PhD,Female,3.0,55.0,80.09,3,40833,No
135,42.0,1,Finance,PhD,Male,3.0,67.0,73.12,3,25353,No
136,48.0,16,Finance,Bachelors,Male,,87.0,89.49,12,69987,No
137,22.0,4,Marketing,PhD,Female,5.0,74.0,61.47,14,43597,Yes
138,26.0,5,Finance,PhD,Female,,99.0,78.99,5,40311,No
139,48.0,11,Finance,Bachelors,Male,,84.0,73.45,2,54934,No
140,48.0,9,Finance,Bachelors,Male,3.0,85.0,96.82,6,48022,No
141,40.0,5,HR,Bachelors,Female,4.0,47.0,60.48,7,39209,No
142,50.0,7,Marketing,Bachelors,Male,3.0,,82.11,13,50940,No
143,31.0,1,Finance,Bachelors,Female,,94.0,89.63,9,20804,No
144,48.0,11,Marketing,Bachelors,Male,3.0,94.0,79.4,6,62325,No
145,45.0,12,Sales,PhD,Male,4.0,61.0,63.42,3,63416,Yes
146,59.0,6,Sales,PhD,Female,2.0,60.0,98.9,12,45625,No
147,53.0,9,Finance,Masters,Female,5.0,65.0,80.72,5,57141,Yes
148,,12,Marketing,PhD,Female,3.0,,84.57,4,61968,No
149,,16,Marketing,PhD,Female,4.0,60.0,69.46,5,74671,No
150,33.0,13,Marketing,Bachelors,Female,4.0,64.0,79.34,8,69292,Yes
151,23.0,1,HR,Bachelors,Female,2.0,80.0,77.17,8,29001,No
152,59.0,10,Sales,,Female,1.0,40.0,63.0,6,49098,No
153,26.0,0,Marketing,Masters,Male,3.0,,64.25,1,29444,No
154,28.0,18,Marketing,Bachelors,Male,4.0,62.0,93.5,8,82061,Yes
155,47.0,3,HR,PhD,Male,2.0,90.0,69.59,8,37321,No
156,,18,HR,PhD,Female,5.0,62.0,67.8,2,82264,Yes
157,57.0,10,Marketing,Masters,Female,4.0,82.0,80.2,4,58435,Yes
158,,7,IT,Masters,Female,2.0,82.0,90.75,12,48493,No
159,44.0,10,Marketing,Bachelors,Male,1.0,62.0,62.48,2,53691,No
160,35.0,3,Marketing,Masters,Female,1.0,71.0,83.07,4,28763,No
161,52.0,16,HR,PhD,Female,4.0,69.0,64.77,12,75005,Yes
162,52.0,6,HR,PhD,Male,4.0,52.0,61.46,13,44241,No
163,44.0,7,Marketing,Masters,Female,3.0,,62.11,13,45057,No
164,32.0,2,Marketing,Masters,Male,2.0,57.0,93.37,10,25550,No
165,59.0,1,Marketing,Masters,Male,4.0,62.0,64.72,7,31574,No
166,22.0,14,HR,Masters,Female,3.0,54.0,61.81,9,68411,No
167,23.0,4,Marketing,Bachelors,Female,3.0,72.0,77.52,14,34587,No
168,,0,Marketing,Masters,Female,4.0,60.0,93.76,14,28920,No
169,37.0,3,Finance,Bachelors,Male,,96.0,70.5,8,31260,No
170,22.0,14,IT,PhD,Male,,78.0,76.87,12,65409,No
171,22.0,19,Sales,Masters,Male,2.0,62.0,61.6,9,81783,No
172,48.0,18,IT,Bachelors,Female,1.0,66.0,77.96,8,71712,No
173,43.0,2,Finance,Masters,Female,4.0,84.0,83.1,2,34406,No
174,57.0,19,Sales,PhD,Female,2.0,83.0,82.84,7,83990,No
175,52.0,10,Marketing,PhD,Female,4.0,57.0,73.3,2,60420,No
176,53.0,16,Finance,PhD,Male,4.0,63.0,72.62,13,77843,Yes
177,,12,Marketing,Masters,Male,3.0,,64.26,12,59433,No
178,39.0,10,HR,Masters,Male,1.0,86.0,74.67,11,50301,No
179,22.0,1,Finance,Bachelors,Male,4.0,79.0,63.98,2,26270,No
180,46.0,8,HR,PhD,Female,5.0,90.0,90.66,4,58986,Yes
181,52.0,1,Finance,Masters,Female,1.0,,98.65,1,21079,No
182,,8,Finance,PhD,Female,2.0,46.0,98.8,5,48322,No
183,52.0,8,HR,,Male,3.0,89.0,94.6,6,53795,No
184,24.0,7,Sales,Bachelors,Male,2.0,,84.03,9,45257,No
185,31.0,16,IT,Bachelors,Female,2.0,59.0,88.03,10,74982,No
186,37.0,0,Marketing,Bachelors,Female,1.0,66.0,71.41,8,26777,No
187,58.0,10,Finance,Bachelors,Male,,45.0,85.23,2,55214,No
188,44.0,7,Marketing,PhD,Female,4.0,66.0,78.23,1,49006,Yes
189,25.0,9,HR,Bachelors,Male,2.0,48.0,79.28,2,49985,No
190,,6,Marketing,Bachelors,Male,,92.0,90.31,7,48587,No
191,26.0,2,HR,Bachelors,Male,3.0,84.0,71.28,4,35791,No
192,42.0,2,Marketing,Bachelors,Female,5.0,96.0,72.72,10,39705,No
193,31.0,17,IT,PhD,Female,3.0,70.0,96.99,5,77991,No
194,36.0,4,IT,,Male,2.0,,62.25,12,37227,No
195,53.0,11,IT,PhD,Female,3.0,65.0,79.43,7,63258,No
196,29.0,11,IT,Masters,Male,1.0,79.0,96.51,3,57833,No
197,26.0,18,IT,PhD,Male,3.0,87.0,84.41,10,77886,No
198,36.0,5,IT,PhD,Male,,84.0,81.86,2,40653,Yes
199,49.0,1,HR,,Male,1.0,52.0,69.99,13,29280,No
200,23.0,11,Finance,Masters,Female,,88.0,73.73,7,62864,Yes
201,40.0,18,Marketing,,Male,4.0,62.0,94.08,5,79514,Yes
202,56.0,4,IT,Masters,Male,2.0,59.0,82.37,14,34969,No
203,39.0,11,HR,Masters,Female,2.0,76.0,80.59,1,55284,No
204,46.0,16,HR,PhD,Male,2.0,93.0,63.98,1,74740,No
205,23.0,16,HR,Masters,Male,4.0,92.0,60.64,9,75566,Yes
206,39.0,9,Finance,PhD,Female,4.0,67.0,98.55,5,52196,Yes
207,40.0,16,Marketing,PhD,Female,4.0,56.0,75.08,1,71789,No
208,52.0,14,Finance,PhD,Female,1.0,67.0,84.13,7,62475,No
209,27.0,11,Sales,Masters,Male,1.0,80.0,63.19,9,59856,No
210,53.0,15,HR,Bachelors,Female,2.0,41.0,87.32,11,65309,No
211,59.0,18,Sales,Bachelors,Female,3.0,64.0,97.3,1,75864,No
212,38.0,7,IT,Masters,Male,2.0,97.0,83.03,10,45389,No
213,21.0,16,IT,Bachelors,Male,5.0,89.0,65.04,14,76363,Yes
214,31.0,4,Finance,Bachelors,Male,1.0,80.0,83.27,13,37215,No
215,48.0,15,Marketing,PhD,Male,4.0,45.0,90.65,4,71003,No
216,45.0,5,Sales,PhD,Male,,50.0,76.26,14,40502,No
217,43.0,7,Marketing,Masters,Female,4.0,96.0,95.19,3,45231,Yes
218,51.0,17,Finance,Masters,Female,5.0,77.0,85.95,5,83959,Yes
219,50.0,11,IT,Bachelors,Female,5.0,45.0,95.97,7,60711,No
220,55.0,14,Marketing,PhD,Male,1.0,,84.94,8,65581,No
221,27.0,8,Marketing,Masters,Male,4.0,50.0,65.25,13,54705,No
222,36.0,12,IT,Masters,Male,5.0,53.0,72.39,2,61421,No
223,46.0,14,Sales,Masters,Female,,41.0,68.07,7,70965,No
224,,9,IT,Masters,Female,2.0,79.0,96.35,14,46946,No
225,21.0,15,Marketing,Masters,Male,,,90.42,14,77378,No
226,32.0,6,Sales,Masters,Female,,94.0,87.06,1,36834,No
227,25.0,16,Sales,Bachelors,Male,5.0,92.0,72.04,7,74564,Yes
228,57.0,6,IT,PhD,Female,1.0,74.0,67.36,8,42332,No
229,52.0,13,Marketing,PhD,Female,2.0,72.0,90.26,2,62944,No
230,29.0,14,Finance,,Female,5.0,63.0,78.97,9,68308,Yes
231,55.0,6,Marketing,PhD,Male,1.0,58.0,69.03,1,37986,No
232,39.0,8,HR,PhD,Female,3.0,57.0,84.66,13,45386,No
233,36.0,18,Finance,PhD,Female,4.0,88.0,61.61,6,83131,Yes
234,23.0,15,Sales,Masters,Male,4.0,91.0,73.05,1,77353,Yes
235,40.0,7,Finance,Masters,Female,3.0,63.0,78.74,3,45258,No
236,44.0,17,Sales,PhD,Male,,84.0,65.92,11,76121,No
237,53.0,17,Sales,,Male,5.0,,99.39,6,80811,Yes
238,44.0,19,Finance,Masters,Male,4.0,40.0,68.36,3,86574,No
239,31.0,6,Sales,Bachelors,Male,3.0,75.0,65.21,8,45697,No
240,28.0,2,Sales,PhD,Male,3.0,64.0,68.14,5,30933,No
241,56.0,17,HR,,Female,2.0,84.0,90.76,2,71439,No
242,58.0,9,Marketing,PhD,Male,2.0,88.0,77.02,4,52169,No
243,40.0,6,Marketing,Bachelors,Male,1.0,99.0,82.62,9,39480,No
244,55.0,16,HR,Bachelors,Male,4.0,82.0,60.84,4,71055,Yes
245,45.0,13,Finance,Bachelors,Male,1.0,73.0,61.38,10,59324,No
246,55.0,2,IT,Masters,Female,3.0,64.0,77.83,10,33777,No
247,,11,IT,Bachelors,Male,,55.0,92.67,8,58105,No
248,49.0,12,IT,Bachelors,Female,,73.0,95.41,5,64201,Yes
249,38.0,1,HR,Bachelors,Male,2.0,,63.47,11,22669,No
250,38.0,2,HR,PhD,Female,5.0,58.0,81.53,11,39934,No
251,,4,Sales,Bachelors,Male,5.0,62.0,96.53,10,37966,Yes
252,,10,IT,PhD,Male,5.0,58.0,75.52,13,55307,No
253,36.0,7,Finance,Bachelors,Female,3.0,64.0,93.18,13,44138,No
254,56.0,11,Finance,Bachelors,Male,5.0,55.0,65.35,14,58109,No
255,53.0,6,IT,Masters,Female,5.0,93.0,97.42,1,46632,Yes
256,24.0,14,IT,PhD,Male,5.0,90.0,90.06,7,73728,Yes
257,53.0,16,IT,Bachelors,Female,1.0,48.0,97.65,3,70684,No
258,34.0,3,HR,PhD,Male,,40.0,87.06,10,36499,No
259,41.0,12,HR,PhD,Male,2.0,81.0,74.54,8,56915,No
260,40.0,17,HR,Masters,Female,1.0,58.0,97.53,14,68556,No
261,28.0,0,Marketing,Masters,Male,4.0,72.0,71.02,12,30619,No
262,27.0,15,Finance,Masters,Male,3.0,73.0,73.29,3,66104,No
263,23.0,12,Finance,Masters,Male,3.0,55.0,88.03,1,59047,No
264,37.0,9,Sales,Masters,Male,4.0,83.0,90.61,5,50145,Yes
265,53.0,11,HR,Masters,Male,4.0,79.0,97.18,2,56873,Yes
266,32.0,1,Marketing,Masters,Male,4.0,94.0,68.19,11,26298,No
267,42.0,2,Marketing,Masters,Female,2.0,57.0,91.92,4,28238,No
268,42.0,9,Finance,Bachelors,Female,5.0,73.0,89.54,1,60837,Yes
269,50.0,1,HR,PhD,Female,3.0,64.0,62.55,9,30382,No
270,58.0,12,Sales,Masters,Male,,84.0,75.49,6,63511,Yes
271,58.0,12,HR,Masters,Female,5.0,45.0,71.31,8,67596,No
272,28.0,17,IT,PhD,Male,4.0,60.0,72.18,11,74783,No
273,47.0,2,HR,Bachelors,Male,2.0,97.0,99.32,4,29992,No
274,47.0,6,IT,PhD,Male,1.0,45.0,85.71,9,35370,No
275,54.0,13,IT,PhD,Male,2.0,71.0,88.71,2,58486,No
276,41.0,19,Sales,Masters,Female,5.0,80.0,99.06,9,89378,Yes
277,50.0,16,Finance,PhD,Male,2.0,87.0,75.09,12,70196,No
278,53.0,11,HR,PhD,Female,4.0,,92.07,5,65552,Yes
279,48.0,15,IT,Masters,Male,1.0,78.0,77.38,13,66287,No
280,,11,HR,Masters,Female,4.0,70.0,94.78,6,58261,Yes
281,25.0,14,Finance,Masters,Female,1.0,81.0,67.23,3,68148,No
282,39.0,9,Finance,Masters,Female,5.0,49.0,97.91,4,60572,No
283,,6,Marketing,PhD,Female,,,68.75,6,35238,No
284,55.0,19,Finance,PhD,Female,1.0,96.0,73.05,7,80843,No
285,37.0,4,Sales,Bachelors,Female,1.0,91.0,90.25,1,30105,No
286,48.0,0,IT,,Male,2.0,,75.75,7,20386,No
287,50.0,16,Marketing,PhD,Female,2.0,99.0,84.33,1,76719,No
288,49.0,2,Sales,,Male,5.0,63.0,77.78,5,32667,No
289,26.0,12,HR,PhD,Female,1.0,91.0,89.69,6,55691,No
290,55.0,13,IT,,Male,3.0,48.0,69.13,13,67756,No
291,57.0,17,Finance,,Female,5.0,70.0,62.34,2,77996,Yes
292,44.0,3,IT,Bachelors,Female,,54.0,72.0,13,27425,No
293,49.0,17,HR,Masters,Male,1.0,43.0,78.97,10,76023,No
294,51.0,4,Marketing,Masters,Female,2.0,79.0,66.72,9,37849,No
295,55.0,15,Marketing,Masters,Female,5.0,48.0,74.19,14,73247,No
296,53.0,0,Marketing,Masters,Female,1.0,84.0,76.0,10,19592,No
297,41.0,13,Finance,Bachelors,Male,1.0,48.0,62.3,6,57490,No
298,52.0,14,Sales,PhD,Female,5.0,65.0,83.33,7,68224,Yes
299,43.0,8,Sales,Masters,Male,,43.0,95.37,14,47587,No
300,53.0,14,IT,Bachelors,Female,5.0,56.0,66.07,10,74714,No
301,23.0,16,Finance,Masters,Female,5.0,55.0,83.91,8,76064,No
302,38.0,3,Marketing,,Male,3.0,54.0,86.59,11,37804,No
303,45.0,11,Marketing,Bachelors,Female,5.0,74.0,76.77,13,58832,Yes
304,51.0,4,HR,Bachelors,Female,1.0,96.0,88.04,10,31440,No
305,23.0,4,HR,,Male,5.0,91.0,76.43,1,41795,Yes
306,44.0,10,Marketing,Bachelors,Female,3.0,44.0,80.19,14,52646,No
307,52.0,5,Marketing,Bachelors,Male,4.0,94.0,60.29,8,38440,Yes
308,42.0,6,Finance,PhD,Male,5.0,44.0,87.67,4,48956,No
309,43.0,13,Sales,PhD,Male,2.0,59.0,86.45,10,67721,No
310,22.0,10,HR,Bachelors,Female,1.0,54.0,61.54,8,49367,No
311,47.0,12,Sales,PhD,Male,,57.0,74.73,13,59696,No
312,22.0,1,Finance,,Male,2.0,,99.16,6,27190,No
313,46.0,6,Marketing,Masters,Female,2.0,41.0,76.83,11,41663,No
314,37.0,19,Sales,PhD,Male,5.0,68.0,80.08,9,89062,Yes
315,53.0,3,Marketing,,Female,2.0,52.0,96.4,11,32331,No
316,29.0,7,Marketing,Bachelors,Female,4.0,43.0,88.69,4,53496,No
317,59.0,19,IT,PhD,Female,,81.0,83.28,2,81034,No
318,49.0,18,Sales,Bachelors,Female,2.0,84.0,91.91,14,82377,No
319,46.0,12,Sales,Masters,Male,,49.0,94.57,2,58262,No
320,55.0,13,Marketing,PhD,Male,4.0,70.0,78.28,5,64107,Yes
321,45.0,9,Finance,Bachelors,Male,1.0,80.0,79.0,10,51036,No
322,44.0,10,IT,Bachelors,Male,1.0,47.0,75.44,9,51320,No
323,,1,Marketing,Masters,Male,,42.0,98.67,12,33938,No
324,27.0,8,HR,PhD,Female,4.0,87.0,87.89,3,49747,Yes
325,56.0,16,HR,Masters,Male,3.0,85.0,63.33,8,73677,No
326,40.0,2,IT,Bachelors,Male,,48.0,94.52,4,34972,No
327,21.0,5,Finance,Bachelors,Male,4.0,69.0,79.22,6,42264,Yes
328,28.0,4,Marketing,PhD,Female,3.0,92.0,62.75,10,36133,No
329,,4,Sales,,Female,1.0,,81.99,6,30465,No
330,34.0,14,IT,PhD,Male,3.0,74.0,76.69,3,67109,No
331,32.0,16,Finance,Masters,Female,3.0,76.0,95.11,14,71211,No
332,43.0,8,Sales,PhD,Male,4.0,81.0,68.16,5,52539,Yes
333,35.0,2,HR,,Male,4.0,52.0,93.06,12,38735,No
334,48.0,19,HR,Bachelors,Female,3.0,75.0,82.31,3,79689,No
335,,16,Sales,,Female,2.0,95.0,62.18,11,76763,No
336,22.0,9,IT,PhD,Male,4.0,52.0,98.87,11,57727,No
337,52.0,2,HR,Bachelors,Male,5.0,,80.5,1,38764,No
338,43.0,17,Marketing,,Female,5.0,76.0,71.64,7,80541,Yes
339,42.0,17,Sales,Bachelors,Male,1.0,49.0,78.78,4,71541,No
340,45.0,16,Sales,PhD,Female,3.0,99.0,94.31,14,69818,No
341,42.0,2,HR,Bachelors,Male,2.0,,72.2,7,29521,No
342,42.0,2,IT,PhD,Female,1.0,48.0,67.71,3,24124,No
343,,5,Marketing,Bachelors,Male,3.0,91.0,65.16,12,41660,No
344,35.0,12,IT,Masters,Male,4.0,46.0,71.91,11,64641,No
345,57.0,14,Finance,Bachelors,Female,5.0,41.0,91.2,5,68129,No
346,53.0,8,Finance,Bachelors,Male,,93.0,78.87,5,44702,No
347,,3,HR,PhD,Male,5.0,95.0,69.1,13,36001,No
348,25.0,13,HR,PhD,Female,4.0,99.0,66.65,2,68912,Yes
349,59.0,4,HR,Bachelors,Male,3.0,62.0,73.31,11,36878,No
350,24.0,1,Finance,Masters,Male,,78.0,97.6,10,33232,No
351,26.0,10,IT,Bachelors,Male,4.0,79.0,73.72,12,62998,Yes
352,,8,IT,Bachelors,Female,5.0,78.0,99.52,2,55331,Yes
353,50.0,2,HR,Masters,Female,2.0,60.0,79.41,4,31035,No
354,55.0,8,Marketing,PhD,Female,4.0,62.0,67.17,4,53523,Yes
355,36.0,2,IT,Bachelors,Male,5.0,68.0,95.65,4,39111,No
356,33.0,1,Finance,PhD,Male,2.0,53.0,78.41,6,30736,No
357,,11,Sales,PhD,Male,3.0,,88.39,2,56401,No
358,,9,Sales,Masters,Male,3.0,90.0,99.35,6,57481,No
359,37.0,8,Sales,Masters,Female,1.0,44.0,62.01,7,49974,No
360,39.0,14,Marketing,PhD,Male,5.0,94.0,63.87,11,67539,Yes
361,48.0,7,HR,,Male,,70.0,88.82,10,45615,No
362,46.0,4,Finance,,Male,4.0,64.0,71.27,3,37956,Yes
363,57.0,10,Marketing,Bachelors,Female,3.0,70.0,67.37,11,59077,No
364,46.0,1,Finance,Bachelors,Male,2.0,89.0,61.57,12,25722,No
365,43.0,14,Finance,Masters,Male,5.0,59.0,60.87,8,72087,No
366,29.0,5,HR,Bachelors,Male,1.0,83.0,90.98,2,38460,No
367,32.0,7,Sales,Bachelors,Male,3.0,94.0,65.38,11,44170,No
368,21.0,4,HR,PhD,Male,2.0,56.0,78.71,8,34391,No
